Word                Frequency      URL_idx        
Wiley               1              [2]            
William             1              [2]            
Wojciech            1              [2]            
X                   1              [2]            
Yan                 1              [1]            
Yao                 1              [1]            
York                3              [2, 1825, 1828]
You                 2              [1]            
a                   31             [1, 39, 210, 370, 397, 544, 625, 823]
able                1              [2]            
about               1              [2]            
academic            2              [1]            
acceptable          1              [2]            
access              2              [2, 1435]      
according           1              [2]            
account             2              [1]            
accurate            1              [2]            
activities          1              [1]            
actual              2              [2, 110]       
actually            2              [2, 574]       
added               1              [2]            
additional          1              [2]            
addressed           1              [2]            
advantages          1              [1]            
affected            1              [1]            
against             2              [1]            
agencies            2              [1, 272]       
aggregation         2              [1]            
agreement           2              [2, 1143]      
al                  1              [1]            
algorithm           1              [1]            
algorithms          5              [1]            
all                 1              [2]            
allow               1              [2]            
all—may             1              [2]            
along               1              [1]            
also                11             [1, 749]       
amend               1              [2]            
amount              1              [1]            
amounts             1              [2]            
an                  6              [1, 682, 700]  
analysis            4              [2, 150, 968, 999]
analyze             1              [2]            
analyzing           1              [2]            
and                 78             [1, 58, 66, 156, 280, 381, 420, 442, 562, 568, 576, 578, 619, 692, 729, 745, 786, 813, 853]
anonymous           2              [1]            
anti                1              [1]            
any                 4              [1, 465]       
anyone              1              [2]            
apparent            1              [2]            
appear              1              [2]            
applicable          1              [2]            
application         3              [1]            
applications        9              [1]            
approach            1              [2]            
appropriate         2              [1]            
appropriately       1              [2]            
archaeology         1              [2]            
are                 13             [1, 273, 309, 437, 445, 456, 643]
area                1              [1]            
arena               1              [2]            
arise               1              [2]            
article             7              [1, 25, 33, 961]
articles            1              [2]            
artificial          1              [2]            
as                  26             [1, 396, 611, 613, 615, 1000]
assembled           1              [2]            
associated          1              [2]            
at                  3              [1]            
attempts            1              [2]            
attractive          1              [1]            
attributes          1              [1]            
authors             1              [1]            
automated           1              [1]            
available           4              [2, 1428, 1442, 1453]
average             1              [2]            
b                   4              [1]            
based               1              [2]            
be                  21             [1, 218, 506]  
because             2              [1]            
become              1              [2]            
becomes             1              [2]            
been                6              [1]            
before              1              [2]            
